Date,energy_price
2022-07-03,101.36174571706668
2022-07-04,104.56054160253335
2022-07-05,104.50061156463333
2022-07-06,105.48758301280002
2022-07-07,108.24356443263333
2022-07-08,105.90673284506666
2022-07-09,109.77952870259999
2022-07-10,106.86524920756666
2022-07-11,105.30795695463333
2022-07-12,116.69532424916667
2022-07-13,115.43205907413333
2022-07-14,112.10918490053332
2022-07-15,111.33500351683334
2022-07-16,109.92047648036667
2022-07-17,106.8036185547
2022-07-18,120.46574198646665
2022-07-19,118.69847274987085
2022-07-20,106.74612964343333
2022-07-21,107.12883518253334
2022-07-22,103.49754494713333
2022-07-23,103.7533367619
2022-07-24,110.85079385360001
2022-07-25,107.63556779026668
2022-07-26,130.636103706
2022-07-27,106.4125778344
2022-07-28,104.6208226925
2022-07-29,109.89856387833333
