date,precipitacion_unidadmedida,precipitacion_amazonas,precipitacion_arauca,precipitacion_atlantico,precipitacion_bogota,precipitacion_bolivar,precipitacion_caqueta,precipitacion_casanare,precipitacion_cesar,precipitacion_choco,precipitacion_guainia,precipitacion_guaviare,precipitacion_la guajira,precipitacion_magdalena,precipitacion_meta,precipitacion_narino,precipitacion_norte de santander,precipitacion_putumayo,precipitacion_quindio,precipitacion_risaralda,precipitacion_san andres providencia,precipitacion_sucre,precipitacion_vaupes,precipitacion_vichada,precipitacion_departamentos_represa
2023-04-07,mm,2.4360000000000004,0.0,145.28,7.4,95.6,1.5,11.6,87.2,1045.8,17.080000000000002,0.5,0.0,0.0,1.5,26.38,32.53,4.5600000000000005,19.555,1.1,1.2,15.899999999999999,2.2199999999999998,28.1,1015.582
2023-04-08,mm,1.238,0.0,14.01,10.58,9.0,4.0,13.08,2.8000000000000003,1051.0,0.08,0.66,5.49,0.0,56.5,74.42699999999999,8.25,18.160000000000004,29.464,61.5,0.0,5.6,8.739999999999998,0.1,568.802
2023-04-09,mm,0.008,2.8,91.25999999999999,15.9,9.8,0.4,14.0,0.0,1073.3999999999999,4.96,4.36,0.0,0.0,39.8,3.266,0.33999999999999997,10.32,1.874,6.894,0.0,9.5,7.219999999999999,13.5,233.874
2023-04-10,mm,0.658,3.2,6.3999999999999995,9.81,11.3,0.0,32.7,0.3,1072.4,5.42,4.0200000000000005,0.0,0.1,0.0,4.576,0.0,6.9399999999999995,0.763,0.7999999999999999,1.8,9.1,1.4600000000000002,30.5,205.142
2023-04-11,mm,9.5,22.4,116.32000000000001,15.25,8.6,0.0,192.59,46.0,1100.6,13.339999999999998,14.0,0.0,15.7,28.0,0.405,100.0,17.94,1.11,16.708000000000002,0.0,12.1,0.7,31.9,1505.334
2023-04-12,mm,11.972000000000001,3.4,74.14,8.05,21.2,24.0,40.510000000000005,2.1,1003.4,17.060000000000002,14.060000000000002,0.1,0.6,111.7,9.8,5.8999999999999995,7.74,2.635,2.4,0.0,6.5,0.72,0.0,1236.423
2023-04-13,mm,2.232,0.3,0.4,13.95,7.1,0.7,30.4,1.9,1119.9,11.1,4.4399999999999995,0.0,0.0,1.1,0.489,0.1,6.640000000000001,1.17,17.94,0.1,17.2,7.219999999999999,0.0,143.581
2023-04-14,mm,1.766,0.0,0.1,11.3,11.5,43.5,32.5,0.1,1115.0,9.34,4.4399999999999995,0.0,0.0,3.0,3.52,0.0,6.68,5.582000000000001,13.702,0.0,7.8,8.399999999999999,0.0,223.894
2023-04-15,mm,0.25,0.0,0.4,11.96,9.799999999999999,12.0,33.2,0.0,1072.2,8.72,4.4399999999999995,0.1,0.0,0.0,15.972999999999999,28.900000000000002,4.859999999999999,35.451,5.654,1.5,10.0,7.199999999999998,0.0,383.736
2023-04-16,mm,15.309999999999997,0.0,2.0,17.39,137.9,76.1,84.49,70.8,1078.9,16.46,7.62,0.0,1.9,35.3,86.709,59.76,1.44,53.426,78.248,0.3,80.9,6.8,50.1,1912.481
2023-04-17,mm,2.46,5.5,31.61,43.13,9.7,2.2,26.17,49.5,1085.3999999999999,24.16,17.4,0.0,14.7,14.2,152.015,18.64,13.459999999999999,21.914,33.954,0.0,3.3,2.7399999999999993,0.0,914.414
2023-04-18,mm,7.072,10.5,2.3000000000000003,12.0,104.6,1.1,83.9,46.8,1085.8999999999999,13.719999999999999,3.7399999999999998,0.1,0.0,2.7,1.266,43.1,4.12,7.185,0.5,0.0,39.599999999999994,1.0799999999999998,0.0,628.116
2023-04-19,mm,3.9800000000000004,0.0,0.7999999999999999,15.57,3.9,11.4,22.514,31.6,1013.8000000000001,0.2,4.0,0.1,0.5,0.3,0.12000000000000001,8.1,1.78,2.825,0.0,0.0,4.1,1.46,0.0,58.51500000000001
2023-04-20,mm,15.330000000000002,1.3,0.5,22.63,5.7,21.9,28.482999999999997,0.2,1002.9,0.8400000000000001,0.31999999999999995,0.0,0.0,0.1,36.182,3.6,23.78,40.152,95.526,3.5,4.6,3.3599999999999994,0.0,807.5409999999999
2023-04-21,mm,0.336,2.4,0.19,27.21,8.6,10.8,113.26599999999999,172.2,1081.8,16.64,0.36000000000000004,22.9,14.3,13.2,91.474,15.7,45.4,63.837999999999994,22.654,0.0,3.4000000000000004,9.1,0.0,645.28
2023-04-22,mm,0.0,0.3,6.1,8.21,5.1,12.6,113.188,143.8,1101.0,19.52,2.3600000000000003,13.2,0.0,2.9,118.235,61.260000000000005,68.16,39.406000000000006,29.253999999999998,0.0,5.8,17.1,6.4,444.986
2023-04-23,mm,0.32,0.0,0.2,10.27,9.9,94.5,84.53,30.0,1137.1,23.720000000000002,2.3,10.0,4.9,61.4,29.375,65.83,64.94,19.098,11.5,0.0,11.5,17.1,0.3,537.2529999999999
2023-04-24,mm,4.786,2.4,0.1,10.96,5.0,0.5,99.81,0.0,1114.2,10.959999999999999,4.279999999999999,46.7,0.9,6.5,14.915,51.309999999999995,25.839999999999996,12.989,5.3,0.0,10.2,1.02,121.1,497.83400000000006
2023-04-25,mm,6.7780000000000005,7.1,1.2,21.049999999999997,5.8,60.9,284.28000000000003,0.0,1140.5,3.12,3.6400000000000006,0.08,0.0,6.9,37.842999999999996,63.449999999999996,29.560000000000002,74.736,4.2,0.0,7.7,3.8600000000000003,18.299999999999997,528.604
2023-04-26,mm,1.5,47.3,0.1,13.770000000000001,7.7,84.8,141.12,4.8,1128.5,1.7,0.7,0.0,0.0,18.2,20.649,69.6,25.18,10.748,0.2,5.2,6.1,3.8599999999999994,0.9,577.9490000000001
2023-04-27,mm,4.396,0.6,5.1000000000000005,17.24,4.6,5.3,173.06,2.7800000000000002,1084.2,3.7600000000000002,0.52,0.0,10.6,0.0,0.958,0.4,11.2,5.376,3.648,0.0,7.3,3.62,0.0,498.34799999999996
2023-04-28,mm,7.025999999999999,21.3,8.299999999999999,14.91,16.3,2.2,60.826,29.4,1079.2,1.5799999999999998,0.8400000000000001,0.0,9.8,0.8,39.205,16.2,12.68,41.012,61.214,0.0,9.7,9.059999999999999,7.6,662.4830000000002
2023-04-29,mm,4.114,15.9,34.5,12.649999999999999,26.5,63.9,76.293,38.190000000000005,1037.2,13.680000000000001,2.42,0.2,3.1,21.9,65.258,39.0,15.640000000000004,15.956,28.7,0.0,8.1,10.959999999999999,57.0,781.0559999999999
2023-04-30,mm,0.062,10.8,14.370000000000001,13.04,213.60000000000002,8.0,219.988,1.3,1074.6,22.020000000000003,0.72,9.04,0.30000000000000004,7.1,23.203,8.41,17.04,20.75,27.154,0.0,25.9,4.32,0.0,781.0600000000001
2023-05-01,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2023-05-02,mm,10.03,0.0,1.2,13.41,3.6,21.8,25.653000000000002,0.2,1079.1,4.6,4.0,0.0,0.0,3.7,6.286,0.0,6.720000000000001,0.216,0.0,0.0,2.8,7.219999999999999,0.0,63.14800000000001
2023-05-03,mm,0.09,0.0,0.0,11.85,3.6,23.2,59.7,0.1,1064.6999999999998,1.04,4.0,0.0,0.0,26.1,2.0170000000000003,0.0,2.88,0.123,6.1000000000000005,0.0,3.8,1.4600000000000002,0.0,47.919000000000004
2023-05-04,mm,6.064,0.0,0.1,11.79,2.5,18.8,47.50000000000001,0.0,1058.1999999999998,10.34,7.68,0.0,0.0,4.4,0.218,0.0,11.48,0.03,3.6999999999999997,0.0,4.6,12.419999999999998,0.0,221.42299999999994
2023-05-05,mm,6.37,0.0,0.1,10.7,0.8,1.4,47.949999999999996,0.0,1138.6,7.88,4.199999999999999,0.0,0.0,0.2,0.11800000000000001,0.0,7.12,0.012,0.0,0.0,4.5,5.7,0.0,274.80499999999995
2023-05-06,mm,8.826000000000002,0.0,5.5,9.35,1.1,64.0,15.9,0.0,1098.3,12.98,16.46,0.0,6.7,11.9,9.149000000000001,0.0,7.42,24.671,60.51,0.0,4.5,0.68,0.0,863.8499999999999
2023-05-07,mm,14.054000000000002,0.0,0.7999999999999999,11.21,0.8,0.0,42.5,0.0,999.0,13.659999999999997,14.0,0.2,0.0,0.0,1.738,0.0,15.160000000000002,24.522,0.7,0.0,3.6,0.62,0.2,1543.7309999999998
2023-05-08,mm,8.820000000000002,0.0,0.0,11.68,0.9,30.7,66.715,0.9,1097.9,24.8,3.8199999999999994,0.0,0.0,1.4,0.015,0.0,5.0600000000000005,0.138,0.0,0.0,6.6,0.7,2.4,489.17
2023-05-09,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2023-05-10,mm,1.8039999999999998,0.0,12.489999999999998,15.76,31.6,20.7,156.41,2.01,1048.3999999999999,2.46,4.24,0.0,0.0,58.5,25.4,26.09,22.86,58.257999999999996,16.354,0.1,4.7,6.18,0.0,917.736
2023-05-11,mm,0.32599999999999996,0.0,0.5,9.0,2.8,8.5,56.724999999999994,0.0,1003.1,4.7,4.0200000000000005,0.0,0.0,13.3,19.311,0.1,10.04,5.586,22.428,0.0,6.6,7.219999999999999,20.0,447.411
2023-05-12,mm,0.6980000000000001,0.0,0.2,20.77,5.7,18.5,98.858,0.2,1078.5,7.840000000000001,4.08,0.0,0.0,15.2,0.382,0.82,8.92,0.44699999999999995,0.2,0.0,8.7,8.4,0.0,217.38200000000003
2023-05-13,mm,0.13599999999999998,5.7,0.0,11.48,17.9,5.2,205.325,0.8,1095.4,7.58,1.8799999999999997,0.2,0.9,14.7,2.226,3.04,4.9,1.5710000000000002,17.1,0.0,8.5,10.02,39.2,262.12
2023-05-14,mm,4.938000000000001,16.3,2.3,7.97,26.5,20.5,168.578,67.06,1072.8,8.26,4.08,0.9,2.0,9.3,3.394,2.3,28.74,0.375,2.3,0.0,11.600000000000001,1.7,7.4,436.67
2023-05-15,mm,6.168,4.1,0.0,1.4,87.3,15.5,80.4,79.0,1032.8,7.0200000000000005,2.6599999999999997,0.0,0.0,10.622,3.2,46.94,9.66,6.422200000000001,5.334,0.0,9.0,1.58,44.9,262.14
2023-05-16,mm,0.24200000000000005,0.3,6.7,8.299999999999999,30.1,13.420000000000002,57.3,71.4,1037.0,3.3600000000000003,4.0,0.0,0.0,0.9239999999999998,0.30000000000000004,1.5999999999999999,8.040000000000001,1.3809999999999998,19.05,0.0,51.3,8.26,0.0,74.17999999999999
2023-05-17,mm,12.244000000000003,16.6,0.0,3.83,6.7,24.4,24.9,0.04,1103.3999999999999,0.0,14.060000000000002,10.31,0.0,0.0,0.2,0.7,17.94,0.149,0.0,0.0,4.1,0.72,3.2,1059.7319999999997
2023-05-18,mm,9.946000000000002,3.3,2.2,3.74,1.5,3.7,107.47,1.8,1066.6,12.98,3.7999999999999994,0.0,2.0,7.6,0.258,0.3,0.0,0.452,1.3,0.0,3.6,0.74,0.0,554.8020000000001
2023-05-19,mm,12.244,0.0,5.0,3.57,1.6,26.5,69.8,0.1,1041.2,12.98,14.060000000000002,0.1,0.0,56.1,19.997,0.0,20.7,4.524,15.234,0.1,4.3,0.72,0.8,1072.6029999999998
2023-05-20,mm,15.248,0.0,48.7,3.58,106.7,36.7,31.43,92.0,1000.0000000000001,4.64,5.7,0.02,10.7,56.8,56.97299999999999,0.0,12.1,36.775,116.298,0.3,7.0,8.08,0.0,867.626
2023-05-21,mm,0.446,5.4,77.6,4.44,171.3,15.0,263.34,64.41,1088.0,4.2,6.459999999999999,0.64,3.6,53.1,52.115,35.47,1.3,73.08200000000001,108.57000000000001,0.0,39.3,15.48,0.0,556.5129999999999
2023-05-22,mm,4.128,17.6,4.32,7.640000000000001,6.1,91.9,11.7,17.73,1105.3,0.62,9.76,15.71,8.4,11.4,86.957,86.76,4.0,27.339000000000002,31.97,0.0,3.4,4.66,2.2,1042.681
2023-05-23,mm,14.732,12.5,1.5,39.23,19.2,15.2,18.9,0.02,1052.9,4.7,11.719999999999999,0.02,49.2,43.7,66.186,24.909999999999997,32.8,107.14699999999999,76.44,0.0,4.3,2.3,0.0,1182.043
2023-05-24,mm,4.86,1.9,5.45,7.01,11.3,58.0,84.796,30.45,1104.7,0.0,16.42,0.01,8.9,153.8,107.911,3.3,3.4,2.2,4.800000000000001,0.0,4.7,7.500000000000002,5.9,1329.171
2023-05-25,mm,2.82,23.7,2.2,35.42,137.5,6.800000000000001,192.351,61.699999999999996,1068.3000000000002,0.1,18.96,71.61,43.2,16.4,40.325,44.35,66.3,38.082,83.19,0.0,5.6,8.540000000000001,85.8,1096.0479999999998
2023-05-26,mm,9.208,28.2,20.630000000000003,5.18,20.2,168.5,161.349,3.12,1055.3999999999999,0.0,14.280000000000001,30.310000000000002,44.1,27.7,5.715,16.479999999999997,30.7,2.474,3.5,0.0,5.699999999999999,12.379999999999999,0.0,949.951
2023-05-27,mm,3.8639999999999994,30.5,13.29,2.21,99.5,20.1,62.735,27.029999999999998,1125.3999999999999,0.0,5.68,11.69,19.8,35.7,4.199999999999999,19.56,0.0,0.572,20.0,0.0,22.9,9.379999999999999,21.2,498.88800000000003
