date,unidadmedida,amazonas,antioquia,arauca,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,san andres providencia,santander,sucre,tolima,valle del cauca,vaupes,vichada
2021-01-31,mm,26.17,214.701,55.4,10.81,0.0,3.96,196.70000000000002,0.0,0.0,1.5,0.7,0.0,979.4,63.8,1510.407,2.3,5.676525821596243,0.0,0.0,14.379999999999999,0.38,52.748,0.2,0.0,0.0,6.2909999999999995,0.0,0.1,17.1,0.0,3.7,0.4,7.151162790697675
2021-02-01,mm,12.1,237.244,57.7,11.01,0.0,11.21,164.8,2.5,43.400000000000006,1.3,21.3,0.0,1116.1,84.0,669.546,0.8,5.676525821596243,32.900000000000006,0.0,16.89,3.39,158.304,14.31,6.6,0.0,0.1,0.0,264.92,11.7,0.0,60.6,1.2,7.151162790697675
2021-02-02,mm,35.44,336.132,14.2,11.93,0.0,2.17,126.89999999999999,10.9,10.1,1.3,14.7,0.0,1031.8,1.6,113.007,0.1,5.676525821596243,9.1,0.2,15.889999999999999,3.91,97.612,0.0,7.3999999999999995,1.2,36.094,0.0,66.12,7.7,54.400000000000006,59.0,1.8,7.151162790697675
2021-02-03,mm,3.21,240.219,7.3,10.54,0.0,2.27,8.9,48.2,0.0,0.7,13.200000000000001,0.0,993.1999999999999,0.30000000000000004,45.0,0.0,5.676525821596243,0.0,0.0,14.93,0.0,20.487,0.0,0.0,1.7,19.674999999999997,0.0,35.08,8.299999999999999,34.6,35.8,0.1,7.151162790697675
2021-02-04,mm,15.32,212.812,15.6,11.07,0.0,0.2,98.3,20.8,39.9,0.8,1.9000000000000001,0.0,990.6999999999999,63.5,78.05,8.2,5.676525821596243,11.6,0.1,23.64,12.919999999999998,62.94200000000001,0.0,8.2,0.1,11.600000000000001,0.0,3.98,6.6,9.3,69.8,2.3,7.151162790697675
2021-02-05,mm,69.11,299.99399999999997,54.4,11.71,3.7,47.2,158.09,85.0,14.4,8.2,7.199999999999999,0.0,981.4,0.4,125.387,8.0,5.676525821596243,27.3,0.1,19.79,24.11,30.349,10.1,6.6,3.0,18.175,0.0,34.0,5.699999999999999,89.39999999999999,124.8,0.3,7.151162790697675
2021-02-06,mm,0.03,244.25,3.8,11.69,0.02,1.68,59.3,94.6,43.900000000000006,0.8,10.0,0.0,990.0999999999999,0.2,603.2289999999999,0.0,5.676525821596243,2.8000000000000003,0.3,11.25,0.0,33.1,0.1,7.0,0.1,9.043,0.0,18.3,7.0,81.7,10.6,0.0,7.151162790697675
2021-02-07,mm,18.27,235.2,8.3,11.88,6.08,2.05,45.6,60.4,0.0,0.2,21.3,0.0,1036.5,0.7000000000000001,44.300000000000004,20.4,5.676525821596243,1.5,0.1,13.84,0.0,20.299999999999997,1.8,0.0,9.8,0.7999999999999999,0.0,104.84,5.9,0.0,63.016,0.0,7.151162790697675
2021-02-08,mm,77.12,281.778,6.1,11.23,3.21,25.56,100.8,267.2,0.0,0.9,90.0,0.0,1034.8,0.0,119.4,0.2,5.676525821596243,16.200000000000003,0.1,15.56,0.0,39.8,10.2,2.0,2.5,193.599,0.6,249.04000000000002,7.5,87.6,71.60000000000001,0.0,7.151162790697675
2021-02-09,mm,8.290000000000001,394.709,8.9,12.42,11.92,1.4,78.05,61.2,0.6,0.9,101.7,0.0,1014.0999999999999,3.3,470.31300000000005,7.1,5.676525821596243,107.8,0.0,12.79,0.0,69.71000000000001,0.4,21.0,14.299999999999999,70.911,0.0,167.86,7.2,102.2,160.845,1.5,7.151162790697675
